"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R2,R3,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R4";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";16;"270";;;
2;"U2,U3";"SOIC-16_3.9x9.9mm_P1.27mm";2;"74HC595";;;
3;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"POWER";;;
4;"R1,R19,R18,R20";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"10k";;;
5;"SW1";"PinHeader_1x02_P2.54mm_Vertical";1;"WAKE UP";;;
6;"J6";"PinHeader_1x04_P2.54mm_Vertical";1;"DHT11";;;
7;"Q1,Q2";"SOT-23_Handsoldering";2;"NPN_CBE";;;
8;"C4";"CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder";1;"4.7u";;;
9;"C2,C3,C1";"CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder";3;"100n";;;
10;"U1";"FakeSMD_DIP-8";1;"ATtiny45V-10P";;;
11;"U4,U5";"HDSP-523Y";2;"HDSP-523Y";;;
